grape_variety,color,water_need,frost_sensitivity,heat_sensitivity,humidity_sensitivity,optimal_temp_min,optimal_temp_max,optimal_humidity_max,optimal_precip_mm,soil
Tempranillo,red,medium,medium,medium,medium,11,31,65,500,arcilloso
Airen,white,low,low,high,low,13,37,45,350,arenoso
Albariño,white,high,medium,low,high,13,27,75,1000,granitico
Garnacha,red,low,low,high,low,11,36,50,400,pizarra
Monastrell,red,low,medium,low,high,15,25,65,300,secano
Bobal,red,low,low,low,low,10,35,40,500,arcilloso
Macabeo,white,medium,low,high,low,10,28,60,450,secano
Palomino,white,medium,medium,low,medium,20,38,75,600,calizo
Pardina,white,low,high,low,medium,10,42,50,450,arcilloso
Verdejo,white,medium,high,medium,low,9,31,55,450,calizo
Godello,white,high,high,medium,high,8,30,65,700,pizarra
Mencia,red,medium,medium,low,high,11,27,75,850,calizo
PedroXimenez,white,medium,medium,low,high,10,40,50,500,zalizo
MantoNegro,red,medium,medium,low,high,10,40,60,500,arcilloso
AlbarinBlanco,white,medium,high,medium,high,10,33,55,600,aluvial
ListanBlancodeCanarias,white,high,low,low,medium,10,38,65,400,volcanico
